state,lga_name_2018,long,lat,id,poly_type,focal_dist,polygon
South Australia,Adelaide (C),138.43647732664843,-35.00660599460201,1,hex,1444.6970110342795,1
South Australia,Adelaide (C),138.83647732664843,-34.77566588692616,2,hex,1444.6970110342795,1
South Australia,Adelaide (C),138.83647732664843,-34.313785671574465,3,hex,1444.6970110342795,1
South Australia,Adelaide (C),138.43647732664843,-34.082845563898616,4,hex,1444.6970110342795,1
South Australia,Adelaide (C),138.03647732664842,-34.313785671574465,5,hex,1444.6970110342795,1
South Australia,Adelaide (C),138.03647732664842,-34.77566588692616,6,hex,1444.6970110342795,1
South Australia,Adelaide Hills (DC),146.03647732664842,-38.47070760973976,1,hex,22090.226014168875,1
South Australia,Adelaide Hills (DC),146.43647732664843,-38.23976750206391,2,hex,22090.226014168875,1
South Australia,Adelaide Hills (DC),146.43647732664843,-37.777887286712215,3,hex,22090.226014168875,1
South Australia,Adelaide Hills (DC),146.03647732664842,-37.546947179036366,4,hex,22090.226014168875,1
South Australia,Adelaide Hills (DC),145.63647732664842,-37.777887286712215,5,hex,22090.226014168875,1
South Australia,Adelaide Hills (DC),145.63647732664842,-38.23976750206391,6,hex,22090.226014168875,1
South Australia,Adelaide Plains (DC),137.63647732664845,-33.6209653485469,1,hex,52135.53830649594,1
South Australia,Adelaide Plains (DC),138.03647732664845,-33.390025240871054,2,hex,52135.53830649594,1
South Australia,Adelaide Plains (DC),138.03647732664845,-32.928145025519356,3,hex,52135.53830649594,1
South Australia,Adelaide Plains (DC),137.63647732664845,-32.69720491784351,4,hex,52135.53830649594,1
South Australia,Adelaide Plains (DC),137.23647732664844,-32.928145025519356,5,hex,52135.53830649594,1
South Australia,Adelaide Plains (DC),137.23647732664844,-33.390025240871054,6,hex,52135.53830649594,1
Western Australia,Albany (C),124.83647732664843,-37.777887286712215,1,hex,377913.69650516514,1
Western Australia,Albany (C),125.23647732664844,-37.546947179036366,2,hex,377913.69650516514,1
Western Australia,Albany (C),125.23647732664844,-37.08506696368467,3,hex,377913.69650516514,1
Western Australia,Albany (C),124.83647732664843,-36.85412685600882,4,hex,377913.69650516514,1
Western Australia,Albany (C),124.43647732664843,-37.08506696368467,5,hex,377913.69650516514,1
Western Australia,Albany (C),124.43647732664843,-37.546947179036366,6,hex,377913.69650516514,1
New South Wales,Albury (C),144.43647732664843,-39.85634825579487,1,hex,212164.25548920123,1
New South Wales,Albury (C),144.83647732664843,-39.62540814811902,2,hex,212164.25548920123,1
New South Wales,Albury (C),144.83647732664843,-39.16352793276732,3,hex,212164.25548920123,1
New South Wales,Albury (C),144.43647732664843,-38.932587825091474,4,hex,212164.25548920123,1
New South Wales,Albury (C),144.03647732664842,-39.16352793276732,5,hex,212164.25548920123,1
New South Wales,Albury (C),144.03647732664842,-39.62540814811902,6,hex,212164.25548920123,1
South Australia,Alexandrina (DC),139.23647732664844,-36.392246640657106,1,hex,52754.02843557911,1
South Australia,Alexandrina (DC),139.63647732664845,-36.16130653298126,2,hex,52754.02843557911,1
South Australia,Alexandrina (DC),139.63647732664845,-35.69942631762956,3,hex,52754.02843557911,1
South Australia,Alexandrina (DC),139.23647732664844,-35.46848620995371,4,hex,52754.02843557911,1
South Australia,Alexandrina (DC),138.83647732664843,-35.69942631762956,5,hex,52754.02843557911,1
South Australia,Alexandrina (DC),138.83647732664843,-36.16130653298126,6,hex,52754.02843557911,1
Northern Territory,Alice Springs (T),138.83647732664843,-28.771223087354056,1,hex,1291420.5059933995,1
Northern Territory,Alice Springs (T),139.23647732664844,-28.540282979678203,2,hex,1291420.5059933995,1
Northern Territory,Alice Springs (T),139.23647732664844,-28.078402764326505,3,hex,1291420.5059933995,1
Northern Territory,Alice Springs (T),138.83647732664843,-27.847462656650652,4,hex,1291420.5059933995,1
Northern Territory,Alice Springs (T),138.43647732664843,-28.078402764326505,5,hex,1291420.5059933995,1
Northern Territory,Alice Springs (T),138.43647732664843,-28.540282979678203,6,hex,1291420.5059933995,1
Victoria,Alpine (S),147.23647732664844,-36.392246640657106,1,hex,207094.09220552503,1
Victoria,Alpine (S),147.63647732664845,-36.16130653298126,2,hex,207094.09220552503,1
Victoria,Alpine (S),147.63647732664845,-35.69942631762956,3,hex,207094.09220552503,1
Victoria,Alpine (S),147.23647732664844,-35.46848620995371,4,hex,207094.09220552503,1
Victoria,Alpine (S),146.83647732664843,-35.69942631762956,5,hex,207094.09220552503,1
Victoria,Alpine (S),146.83647732664843,-36.16130653298126,6,hex,207094.09220552503,1
South Australia,Anangu Pitjantjatjara (AC),130.83647732664843,-27.385582441298954,1,hex,1122350.943352362,1
